Straftat;Gemeindeschluessel;Stadt/Landkreis;Fallstatus;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6  bis unter 14 Jahre - insgesamt;Opfer Kinder 6  bis unter 14 Jahre - maennlich;Opfer Kinder 6  bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich
Straftaten insgesamt;1001;Flensburg;voll.;1698;983;715;14;6;8;73;37;36;87;43;44;139;77;62;175;94;81;1203;710;493;94;59;35;1297;769;528
Straftaten insgesamt;1001;Flensburg;vers.;91;59;32;1;1;0;4;2;2;5;3;2;5;4;1;9;5;4;66;43;23;6;4;2;72;47;25
Straftaten insgesamt;1001;Flensburg;insg.;1789;1042;747;15;7;8;77;39;38;92;46;46;144;81;63;184;99;85;1269;753;516;100;63;37;1369;816;553
Vergewaltigung sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177 178 StGB;1001;Flensburg;voll.;25;0;25;0;0;0;0;0;0;0;0;0;1;0;1;6;0;6;18;0;18;0;0;0;18;0;18
Vergewaltigung sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177 178 StGB;1001;Flensburg;vers.;3;0;3;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;1;0;0;0;1;0;1
Vergewaltigung sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177 178 StGB;1001;Flensburg;insg.;28;0;28;0;0;0;0;0;0;0;0;0;2;0;2;7;0;7;19;0;19;0;0;0;19;0;19
Raub räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252 255 316a StGB;1001;Flensburg;voll.;105;78;27;0;0;0;0;0;0;0;0;0;7;5;2;9;8;1;83;60;23;6;5;1;89;65;24
Raub räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252 255 316a StGB;1001;Flensburg;vers.;16;9;7;0;0;0;0;0;0;0;0;0;1;1;0;2;2;0;13;6;7;0;0;0;13;6;7
Raub räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252 255 316a StGB;1001;Flensburg;insg.;121;87;34;0;0;0;0;0;0;0;0;0;8;6;2;11;10;1;96;66;30;6;5;1;102;71;31
Raub räuberische Erpressung auf/gegen Geldinstitute Postfilialen und -agenturen;1001;Flensburg;voll.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Raub räuberische Erpressung auf/gegen Geldinstitute Postfilialen und -agenturen;1001;Flensburg;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Raub räuberische Erpressung auf/gegen Geldinstitute Postfilialen und -agenturen;1001;Flensburg;insg.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Raub räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte;1001;Flensburg;voll.;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;1;0;0;0;4;3;1
Raub räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte;1001;Flensburg;vers.;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2
Raub räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte;1001;Flensburg;insg.;6;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;3;0;0;0;6;3;3
Handtaschenraub;1001;Flensburg;voll.;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0;1
Handtaschenraub;1001;Flensburg;vers.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0
Handtaschenraub;1001;Flensburg;insg.;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;1;1;0;0;0;2;1;1
Sonstige Raubüberfälle auf Straßen Wegen oder Plätzen;1001;Flensburg;voll.;29;25;4;0;0;0;0;0;0;0;0;0;4;3;1;2;2;0;20;17;3;3;3;0;23;20;3
Sonstige Raubüberfälle auf Straßen Wegen oder Plätzen;1001;Flensburg;vers.;5;4;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;3;2;1;0;0;0;3;2;1
Sonstige Raubüberfälle auf Straßen Wegen oder Plätzen;1001;Flensburg;insg.;34;29;5;0;0;0;0;0;0;0;0;0;4;3;1;4;4;0;23;19;4;3;3;0;26;22;4
